epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss,batch_S_loss,batch_M_loss,batch_guardrail_loss
1.450000000000000000e+03,4.944140528095886111e-06,7.558391644124640152e-06,1.713893190026283264e-02,2.569142729043960571e-02,1.214855292346328497e-04,1.847377461672294885e-06,7.518117781728506088e-04,7.197136990725994110e-03,1.317835296504199505e-03,3.912773536285385489e-05,2.012341283261775970e-04
1.500000000000000000e+03,1.679646175034577027e-06,4.357933903520461172e-06,1.636381074786186218e-02,2.536176890134811401e-02,1.495364995207637548e-04,1.551404579913651105e-06,7.895528688095510006e-04,9.194646961987018585e-03,2.098074182868003845e-03,2.608063186926301569e-05,1.607486628927290440e-04
1.550000000000000000e+03,2.517673465263214894e-06,5.497786332853138447e-06,1.602429337799549103e-02,2.468089200556278229e-02,1.254306553164497018e-04,1.188551323139108717e-06,7.056092144921422005e-04,8.018448948860168457e-03,1.555912545882165432e-03,2.740948548307642341e-05,1.706445651450394507e-09
1.600000000000000000e+03,1.521829290140885860e-06,3.891059805027907714e-06,1.546169631183147430e-02,2.478424459695816040e-02,1.311184460064396262e-04,1.242646476384834386e-06,7.656068773940205574e-04,8.332693949341773987e-03,1.556816860102117062e-03,3.564154030755162239e-05,0.000000000000000000e+00
1.650000000000000000e+03,3.101778247582842596e-06,5.004809281672351062e-06,1.598422974348068237e-02,2.499885670840740204e-02,1.354542764602228999e-04,8.993429219117388129e-07,7.056805188767611980e-04,9.113369509577751160e-03,1.458680722862482071e-03,2.090342604788020253e-05,1.990820237551815808e-05
1.700000000000000000e+03,1.110569769480207469e-06,3.672230832307832316e-06,1.476375758647918701e-02,2.380760386586189270e-02,1.405929942848160863e-04,5.926386620558332652e-06,8.550935890525579453e-04,8.758105337619781494e-03,1.214196207001805305e-03,7.180645479820668697e-05,1.089107058760419022e-06
1.750000000000000000e+03,3.289376991233439185e-06,6.922289685462601483e-06,1.552016101777553558e-02,2.420869655907154083e-02,1.365895150229334831e-04,1.648301577006350271e-06,6.343983113765716553e-04,9.588982909917831421e-03,1.290854997932910919e-03,3.278574149589985609e-05,2.195216438849456608e-05
1.800000000000000000e+03,2.648982217579032294e-06,5.939708898949902505e-06,1.464718021452426910e-02,2.369514480233192444e-02,1.715746475383639336e-04,3.016303708136547357e-06,7.645837031304836273e-04,1.132614444941282272e-02,2.445990219712257385e-03,1.885910933197010309e-05,3.252072474424494430e-06
1.850000000000000000e+03,1.027877488013473339e-06,3.738263785635353997e-06,1.392173767089843750e-02,2.240693755447864532e-02,1.013375294860452414e-04,7.636008376721292734e-07,6.782265845686197281e-04,5.728045012801885605e-03,1.398147782310843468e-03,1.362232615065295249e-05,1.023359945975244045e-04
1.900000000000000000e+03,6.155505161586916074e-06,7.574954906885977834e-06,1.537806726992130280e-02,2.370499819517135620e-02,1.241673890035599470e-04,9.541593044559704140e-07,5.754069425165653229e-04,8.504820056259632111e-03,1.492909155786037445e-03,1.939835055964067578e-05,1.283897177017934155e-06
1.950000000000000000e+03,1.908142166939796880e-06,3.964509232901036739e-06,1.404918450862169266e-02,2.225062064826488495e-02,1.285091129830107093e-04,5.195258836465654895e-06,7.923875236883759499e-04,6.594046950340270996e-03,2.458610571920871735e-03,8.016357605811208487e-05,1.450735726393759251e-05
2.000000000000000000e+03,2.190012992286938243e-06,2.863684812837163918e-06,1.402444671839475632e-02,2.300752513110637665e-02,9.806194429984316230e-05,8.367181862922734581e-07,6.683734245598316193e-04,6.036813836544752121e-03,9.970609098672866821e-04,1.327934296568855643e-05,9.375739296046958771e-07
2.050000000000000000e+03,2.115908955602208152e-06,6.129306711954995990e-06,1.342983264476060867e-02,2.139102853834629059e-02,1.039120470522902906e-04,4.135744120503659360e-07,6.162232020869851112e-04,6.806602701544761658e-03,1.061682356521487236e-03,1.545730265206657350e-05,6.064282160878065042e-07
2.100000000000000000e+03,1.739891899887879845e-06,4.000307399110170081e-06,1.388050056993961334e-02,2.191628701984882355e-02,1.055750180967152119e-04,1.507573870185296983e-06,5.737825995311141014e-04,6.381407380104064941e-03,1.694133970886468887e-03,3.607255348470062017e-05,1.316275213825157664e-11
