T,h,L,inv_L,F_exact,Cv_exact,chi_exact,M_exact,S_exact,split
0.0010000000474974513,0.10000000149011612,6,0.16666666666666666,-1.0025016069412231,-0.030812501907348633,0.5018869042396545,0.05006280168890953,5.0221926358062774e-05,train
0.0010000000474974513,0.13958333432674408,6,0.16666666666666666,-1.0048768520355225,-0.030750000849366188,0.5036984086036682,0.06996294856071472,-1.0742442100308836e-05,train
0.0010000000474974513,0.17916667461395264,6,0.16666666666666666,-1.0080413818359375,-0.030937502160668373,0.5061425566673279,0.08994721621274948,5.038702511228621e-05,train
0.0010000000474974513,0.21875,6,0.16666666666666666,-1.0119991302490234,-0.030812501907348633,0.5092505812644958,0.1100413054227829,-3.08752350974828e-05,train
0.0010000000474974513,0.25833332538604736,6,0.16666666666666666,-1.0167548656463623,-0.025312501937150955,0.5130640268325806,0.13027217984199524,-1.0388452210463583e-05,train
0.0010000000474974513,0.2979166805744171,6,0.16666666666666666,-1.0223146677017212,-0.025875002145767212,0.5176384449005127,0.1506689190864563,0.00011184755567228422,train
0.0010000000474974513,0.3375000059604645,6,0.16666666666666666,-1.0286853313446045,-0.026125000789761543,0.523049533367157,0.1712629199028015,3.0657211027573794e-05,train
0.0010000000474974513,0.37708333134651184,6,0.16666666666666666,-1.0358760356903076,-0.0266875009983778,0.5294049978256226,0.1920894831418991,7.15616115485318e-05,train
0.0010000000474974513,0.4166666865348816,6,0.16666666666666666,-1.0438960790634155,-0.021375000476837158,0.5368620157241821,0.21318870782852173,3.1110525014810264e-05,train
0.0010000000474974513,0.45625001192092896,6,0.16666666666666666,-1.0527576208114624,-0.02212500013411045,0.5456570982933044,0.23460862040519714,7.206472218967974e-05,train
0.0010000000474974513,0.4958333373069763,6,0.16666666666666666,-1.062474250793457,-0.022750001400709152,0.5561498999595642,0.25640884041786194,0.0001130444070440717,train
0.0010000000474974513,0.5354166626930237,6,0.16666666666666666,-1.0730626583099365,-0.023500001057982445,0.5688808560371399,0.27866655588150024,-8.71034717420116e-06,train
0.0010000000474974513,0.5750000476837158,6,0.16666666666666666,-1.0845427513122559,-0.0002500000118743628,0.5846460461616516,0.30148518085479736,0.00015439221169799566,train
0.0010000000474974513,0.6145833730697632,6,0.16666666666666666,-1.0969395637512207,-0.0002500000118743628,0.6045742034912109,0.3250058889389038,7.33814449631609e-05,train
0.0010000000474974513,0.6541666984558105,6,0.16666666666666666,-1.1102842092514038,-0.000375000003259629,0.6301784515380859,0.34942203760147095,7.377914880635217e-05,train
0.0010000000474974513,0.6937500238418579,6,0.16666666666666666,-1.1246172189712524,0.02187500149011612,0.6633108854293823,0.3749942481517792,3.351620398461819e-05,train
0.0010000000474974513,0.7333333492279053,6,0.16666666666666666,-1.1399909257888794,0.022625001147389412,0.7058840990066528,0.4020589292049408,0.00011535458179423586,train
0.0010000000474974513,0.7729166746139526,6,0.16666666666666666,-1.1564719676971436,0.023375000804662704,0.759120762348175,0.43101829290390015,7.515565084759146e-05,train
0.0010000000474974513,0.8125,6,0.16666666666666666,-1.1741435527801514,0.023750001564621925,0.8220648765563965,0.46228593587875366,3.499220474623144e-05,train
0.0010000000474974513,0.8199999928474426,6,0.16666666666666666,-1.1776341199874878,0.023750001564621925,0.8347445726394653,0.46849894523620605,7.578633085358888e-05,train
0.0010000000474974513,0.8349999785423279,6,0.16666666666666666,-1.1847563982009888,0.024000000208616257,0.8603843450546265,0.4812120199203491,7.599859236506745e-05,train
0.0010000000474974513,0.8500000238418579,6,0.16666666666666666,-1.1920722723007202,0.024250000715255737,0.8858948945999146,0.49430984258651733,3.552652196958661e-05,train
0.0010000000474974513,0.8520833253860474,6,0.16666666666666666,-1.1931039094924927,0.024375000968575478,0.8893886804580688,0.4961591362953186,-0.00012720315135084093,train
0.0010000000474974513,0.8649999499320984,6,0.16666666666666666,-1.1995875835418701,0.024500001221895218,0.9105495810508728,0.5077847242355347,0.00011713070125551894,train
0.0010000000474974513,0.8799999952316284,6,0.16666666666666666,-1.2073076963424683,0.02487500198185444,0.933495283126831,0.5216177701950073,-4.5399639930110425e-05,train
0.0010000000474974513,0.8916667103767395,6,0.16666666666666666,-1.2134571075439453,0.02487500198185444,0.9495580792427063,0.5326040387153625,3.6163837648928165e-05,train
0.0010000000474974513,0.8949999809265137,6,0.16666666666666666,-1.2152377367019653,0.02500000037252903,0.9537883996963501,0.5357763767242432,0.00011759711196646094,train
0.0010000000474974513,0.9099999666213989,6,0.16666666666666666,-1.2233823537826538,0.02500000037252903,0.9704446792602539,0.5502132773399353,0.00015852994692977518,train
0.0010000000474974513,0.9249999523162842,6,0.16666666666666666,-1.2317451238632202,0.02537500113248825,0.9825162291526794,0.5648666024208069,3.670886508189142e-05,train
0.0010000000474974513,0.9312500357627869,6,0.16666666666666666,-1.2352948188781738,0.02562500163912773,0.9859890937805176,0.5710188150405884,-3.875451511703432e-06,train
0.0010000000474974513,0.9399999380111694,6,0.16666666666666666,-1.2403291463851929,0.049250002950429916,0.9891701936721802,0.5796615481376648,7.765478949295357e-05,train
0.0010000000474974513,0.9549999833106995,6,0.16666666666666666,-1.2491354942321777,0.0495000034570694,0.9897720813751221,0.5945114493370056,0.00011860734230140224,train
0.0010000000474974513,0.9699999690055847,6,0.16666666666666666,-1.2581641674041748,0.04987500235438347,0.9839557409286499,0.6093225479125977,3.7496211007237434e-05,train
0.0010000000474974513,0.9708333611488342,6,0.16666666666666666,-1.2586723566055298,0.04975000396370888,0.9834417104721069,0.6101424098014832,-3.178749466314912e-06,train
0.0010000000474974513,0.98499995470047,6,0.16666666666666666,-1.2674142122268677,0.05025000125169754,0.9716654419898987,0.6239978671073914,-2.918219252023846e-06,train
0.0010000000474974513,1.0,6,0.16666666666666666,-1.2768828868865967,0.05050000175833702,0.9531623721122742,0.6384415030479431,3.8054073229432106e-05,train
0.0010000000474974513,1.0104167461395264,6,0.16666666666666666,-1.2835849523544312,0.04500000178813934,0.9369403719902039,0.6482882499694824,-2.4362961994484067e-06,train
0.0010000000474974513,1.0149999856948853,6,0.16666666666666666,-1.2865660190582275,0.04512500390410423,0.9290003776550293,0.6525643467903137,3.834265226032585e-05,train
0.0010000000474974513,1.0299999713897705,6,0.16666666666666666,-1.2964580059051514,0.045250002294778824,0.8999653458595276,0.6662870645523071,-2.052649506367743e-06,train
