epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss
9.500000000000000000e+02,5.160483851796016097e-06,7.197362265287665650e-06,1.542337331920862198e-02,2.325143478810787201e-02,6.414130621124058962e-05,3.334444045322015882e-06,4.387121589388698339e-04,5.141978152096271515e-03
1.000000000000000000e+03,5.098513156553963199e-06,6.880865839775651693e-06,1.571282930672168732e-02,2.443128079175949097e-02,6.884556933073326945e-05,4.174820787739008665e-06,4.519153153523802757e-04,5.703504197299480438e-03
1.050000000000000000e+03,4.706105301011120901e-06,6.725509592797607183e-06,1.515512820333242416e-02,2.243831939995288849e-02,6.959897291380912066e-05,4.112514034204650670e-06,4.324715118855237961e-04,6.177748553454875946e-03
1.100000000000000000e+03,4.370825536170741543e-06,6.695644060528138652e-06,1.506115123629570007e-02,2.261652797460556030e-02,7.105800614226609468e-05,3.318335757285240106e-06,4.936489276587963104e-04,5.649551749229431152e-03
1.150000000000000000e+03,4.855076895182719454e-06,7.995153282536193728e-06,1.526046544313430786e-02,2.219506166875362396e-02,6.586963718291372061e-05,3.117668484264868312e-06,4.577594518195837736e-04,5.226243287324905396e-03
1.200000000000000000e+03,3.993566224380629137e-06,6.801836207159794867e-06,1.479879859834909439e-02,2.151119336485862732e-02,6.419000419555231929e-05,3.456973900028970093e-06,4.199399554636329412e-04,5.427566822618246078e-03
1.250000000000000000e+03,4.527121291175717488e-06,7.448477390425978228e-06,1.453577820211648941e-02,2.113768085837364197e-02,7.151128374971449375e-05,2.916570110755856149e-06,4.881999921053647995e-04,5.907742306590080261e-03
1.300000000000000000e+03,3.533707513270201162e-06,6.521866453113034368e-06,1.425149757415056229e-02,2.129713632166385651e-02,6.198104529175907373e-05,3.076635493926005438e-06,4.250325146131217480e-04,4.980362020432949066e-03
1.350000000000000000e+03,4.051024461659835652e-06,6.702289283566642553e-06,1.405932102352380753e-02,2.049488201737403870e-02,6.948930240469053388e-05,2.836535259120864794e-06,4.652925417758524418e-04,5.885872524231672287e-03
1.400000000000000000e+03,3.281814770161872730e-06,6.436050625779898837e-06,1.396434102207422256e-02,2.072466351091861725e-02,6.219856732059270144e-05,2.250878424092661589e-06,4.547039861790835857e-04,4.714273847639560699e-03
1.450000000000000000e+03,4.841028840019134805e-06,7.083665423124330118e-06,1.350263599306344986e-02,2.010127902030944824e-02,5.665525895892642438e-05,2.446129656163975596e-06,3.827960463240742683e-04,4.717089235782623291e-03
1.500000000000000000e+03,2.971914909721817821e-06,4.998531039746012539e-06,1.342311780899763107e-02,2.000409923493862152e-02,6.919807492522522807e-05,2.958469394798157737e-06,4.907529801130294800e-04,5.395873449742794037e-03
1.550000000000000000e+03,2.792399754980579019e-06,5.076599791209446266e-06,1.323933526873588562e-02,1.954441145062446594e-02,6.691564340144395828e-05,1.849557861532957759e-06,4.336747515480965376e-04,6.074421107769012451e-03
1.600000000000000000e+03,2.539282377256313339e-06,4.899566647509345785e-06,1.321176439523696899e-02,2.052869647741317749e-02,6.400791608029976487e-05,2.204576730946428142e-06,4.317197890486568213e-04,5.453152582049369812e-03
1.650000000000000000e+03,2.529195626266300678e-06,5.753016466769622639e-06,1.324368175119161606e-02,1.914780586957931519e-02,6.288813892751932144e-05,1.940216407092520967e-06,4.238451074343174696e-04,5.408062599599361420e-03
1.700000000000000000e+03,2.461071062498376705e-06,5.185606369195738807e-06,1.294881291687488556e-02,1.973960176110267639e-02,5.633071850752457976e-05,1.556961251480970532e-06,3.761014668270945549e-04,4.937128163874149323e-03
