epoch,train_loss,test_loss
1,0.335962727700881,0.06447126372358632
5,0.008978353818172366,0.009638700582272265
10,0.0037843861138104444,0.0061887635703374985
15,0.002656177800431488,0.004742772991390882
20,0.0018023959579095063,0.003420229087771428
25,0.0015204177633149811,0.002833517675524563
30,0.0014153757423641278,0.002604643588734051
35,0.0013378376220713412,0.00247372781987163
40,0.0012686381704427438,0.0022825209360451642
45,0.0011942335169528213,0.0021285725935707217
50,0.001122335697934129,0.001991144398736943
55,0.0010676792806208638,0.0018964614508834177
60,0.0010269328105618942,0.001756084875455409
65,0.000977638943267005,0.001825439900233255
70,0.0009544734594017771,0.0020391102171071623
75,0.0009166010196257371,0.0017639437301848364
80,0.0009203822112248057,0.0017102975049224155
85,0.0008222599006667859,0.0016824047769608613
90,0.0007966347798114146,0.0018544809921393914
95,0.0007611558507426604,0.0017085203256199837
100,0.0007559361911392636,0.002039661830349725
105,0.0008183098850281464,0.0023105711718527083
110,0.0007350951268850395,0.0019593154746611278
115,0.0006363729232718422,0.0017420049910166601
120,0.0006261550179297535,0.0017183185169582153
125,0.000721055206484941,0.0016978054532821383
130,0.0005303831892706497,0.0017147371157787126
135,0.0004852969784985204,0.0017024507133027418
140,0.0006586760945727012,0.0018288004037253316
145,0.0004880621080371141,0.0017814936124590963
150,0.0003960221324140242,0.0015441102844892568
155,0.00039606964422487763,0.0014948675557075468
160,0.0004537284986100248,0.001382934670020818
165,0.000343344411353999,0.0013746331265411414
170,0.0004917363206492528,0.0013237772738351028
175,0.00038561338708123375,0.0013356212185601038
180,0.0003446042163359996,0.0013827314557663104
185,0.000298716164898604,0.0016990376106738754
190,0.00030422392203610134,0.0012524998471488366
195,0.00028390211791231933,0.0012587908049355914
200,0.00029642327440217815,0.0014807867133044721
205,0.0003534929393944956,0.0015950929854525297
210,0.00026852876664854963,0.0012904510560326713
215,0.00027183101483851843,0.0012194007776623501
220,0.0002703211516676903,0.0016248281411832613
225,0.0002672021665997319,0.0012103000450273372
230,0.00024188921274282242,0.0015446981862456298
235,0.000282600429205606,0.0015041495412501465
240,0.00024482367381998643,0.0013072267876843948
245,0.00023728801169371096,0.001371395129213953
250,0.00027657017663695855,0.0015936824590914226
255,0.00028906482582066035,0.0013980575014211015
260,0.00025798113696582254,0.0014677161699096844
265,0.00021161025622837466,0.0013756054140447627
270,0.00025529977114506,0.0013107986518266195
275,0.0002641103722651298,0.0012901788702127754
280,0.00026983661047448235,0.00131900662041721
285,0.00022261122593557854,0.0012028900503725497
290,0.0002049724320315883,0.0014014940651784432
295,0.0002339423645166944,0.0013658944446594315
300,0.0002554336945239759,0.0013345627145362232
305,0.0002316525655269333,0.0014334266050224323
310,0.00021077801222935103,0.0013666892060316762
315,0.00020784390026583875,0.0013813816916518366
320,0.00020971352041979527,0.0013620246992136114
325,0.0002134525223129215,0.001297039667811349
330,0.00023866041382590686,0.0012783379144491588
335,0.00020745353589956842,0.0012887762496466971
340,0.00019129407871087425,0.0012343356223393667
345,0.00019732285527896724,0.0013964644566950542
350,0.0002114410063449371,0.001505140060261691
355,0.00022708378954947918,0.0014104318491877158
360,0.0001778914120640517,0.001288990223518061
365,0.00020287729145441785,0.0013172042107527945
370,0.00021740444875568583,0.0011788176371110204
375,0.00020321654428980877,0.0014166612686674028
380,0.0001950326100881107,0.00153008629762965
385,0.00018988699219643821,0.0012655645590282057
390,0.00017732930423819217,0.0011939280740120273
395,0.00017699753236749774,0.001303187235862582
400,0.00019744914048551508,0.0012980841951570378
405,0.00017901327253257585,0.0012294064003233176
410,0.0001726585139988795,0.001201606164508679
415,0.0001626063624234518,0.0011054570588370245
420,0.0001832898637720503,0.0013235347820103908
425,0.0002024863576483222,0.0016129059184197697
430,0.00017754215597047857,0.001114258792683781
435,0.00017634844255028562,0.0014067937129207053
440,0.00016509733628100153,0.0012030868966645218
445,0.0001717424297446867,0.0010689663343070163
450,0.0001507777902451477,0.0011969497069051931
455,0.00017379922919290097,0.0011613072545254561
460,0.00014020656888207502,0.0010694004115321984
465,0.0001513516328126475,0.0010409186503824337
470,0.00015473567260070023,0.0010608975262037543
475,0.00015603282908516048,0.0012195216768907937
480,0.00015544878353269365,0.0010885110003214468
485,0.00015295356050785,0.0011050011970919985
490,0.0001375555261545481,0.00109237274506519
495,0.00013207367135472403,0.001038272398242816
500,0.0001739058899750876,0.0010518457988831825
