epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss,batch_guardrail_loss
5.500000000000000000e+02,5.265170329948887229e-06,1.055826487572630867e-05,1.634387858211994171e-02,1.913148537278175354e-02,7.082072261255234480e-05,4.647439254767959937e-06,7.765851914882659912e-04,8.739517070353031158e-03,7.590458608319750056e-06
6.000000000000000000e+02,4.655139946407871321e-06,9.634683920012321323e-06,1.583794690668582916e-02,1.871659420430660248e-02,6.147016392787918448e-05,4.541520866041537374e-06,6.906370981596410275e-04,7.302811369299888611e-03,4.595629434334114194e-06
6.500000000000000000e+02,3.894021574524231255e-06,7.946096047817263752e-06,1.550784148275852203e-02,1.860738173127174377e-02,7.797531725373119116e-05,3.547923142832587473e-06,7.863705977797508240e-04,1.073993183672428131e-02,6.420411864382913336e-07
7.000000000000000000e+02,3.528240313244168647e-06,8.876306310412473977e-06,1.517414208501577377e-02,1.877205632627010345e-02,6.579819455510005355e-05,3.020875283255008981e-06,7.096172776073217392e-04,8.598156273365020752e-03,0.000000000000000000e+00
7.500000000000000000e+02,3.202707603122689761e-06,7.336938324442598969e-06,1.484027598053216934e-02,1.888841018080711365e-02,6.226802361197769642e-05,2.624690296215703711e-06,6.865166942588984966e-04,8.032952435314655304e-03,2.542478796385694295e-06
8.000000000000000000e+02,2.730504775172448717e-06,7.087937319738557562e-06,1.465539354830980301e-02,1.853832416236400604e-02,5.575992690864950418e-05,2.240705725853331387e-06,6.181413773447275162e-04,7.195658981800079346e-03,5.465092272061156109e-07
8.500000000000000000e+02,2.498841467968304642e-06,6.903059784235665575e-06,1.447882037609815598e-02,1.885513588786125183e-02,6.321657565422356129e-05,2.385316520303604193e-06,6.269387085922062397e-04,8.931262418627738953e-03,1.433112629456445575e-06
9.000000000000000000e+02,2.443847051836200990e-06,6.666556600976036862e-06,1.434118859469890594e-02,1.875449903309345245e-02,5.585677718045189977e-05,2.121304078173125163e-06,5.571978399530053139e-04,7.755618076771497726e-03,2.125441460520960391e-05
9.500000000000000000e+02,2.241840775241144001e-06,6.272026894293958321e-06,1.420085597783327103e-02,1.866370439529418945e-02,4.856296072830446064e-05,2.054912329185754061e-06,5.394460167735815048e-04,6.232551764696836472e-03,0.000000000000000000e+00
1.000000000000000000e+03,2.156042228307342157e-06,5.570645953412167728e-06,1.418915763497352600e-02,1.902094110846519470e-02,5.006897481507621706e-05,1.941626123880269006e-06,5.185871268622577190e-04,6.845965515822172165e-03,0.000000000000000000e+00
